 [1,] 4.726723 42.10479
 [2,] 3.525684 42.32875
 [3,] 6.738448 41.81685
 [4,] 5.160047 41.55568
 [5,] 5.478823 42.24045
 [6,] 6.596015 42.64974
 [7,] 5.064068 42.50388
 [8,] 5.759378 41.40288
 [9,] 4.060029 42.54356
[10,] 5.721278 41.77444
[11,] 3.089146 41.98872
[12,] 4.383171 41.59560
[13,] 4.899407 41.84810
[14,] 5.342271 42.84107
[15,] 4.570818 42.73055
[16,] 6.243974 42.13651
[17,] 3.652003 41.31579
[18,] 6.464351 41.47048
[19,] 5.900035 42.45561
[20,] 4.072179 42.96388
[21,] 3.830544 41.94097
[22,] 4.332685 42.31427
[23,] 3.240642 42.69676
[24,] 6.044711 42.87943
[25,] 3.440842 41.65388
