4.990156	42.91488
4.117306	43.06930
3.938523	42.76660
3.046025	42.64908
5.332024	41.99462
3.878566	42.99432
4.326414	42.30698
4.593676	41.87447
4.037591	42.27351
5.856619	43.19273
3.789648	42.53913
5.775334	42.39731
3.887754	42.41307
4.206643	41.89791
4.518593	43.17915
4.391076	42.59633
3.543082	42.67295
3.662032	43.08709
5.407198	41.82657
4.847865	43.13312
3.242843	42.78197
3.639223	42.84326
3.285738	42.34156
3.104225	41.96410
5.926889	42.90736
4.887965	41.78876
4.739859	42.04159
5.668322	42.79168
4.307774	42.74235
4.833674	42.32709
5.575353	43.10742
3.708302	41.76318
4.132065	42.05624
3.411512	42.11817
5.392230	42.14074
5.032702	42.02086
3.385156	43.15955
3.327715	41.83105
5.265911	43.12982
5.521317	42.25691
5.726235	42.10185
5.212389	42.35927
4.278113	42.88364
5.139885	41.86736
4.935160	42.44658
5.913390	42.52275
4.711019	43.01327
5.050999	42.56772
5.497063	42.94336
3.219262	43.04416
4.434026	42.16403
3.018534	43.23148
4.068860	42.62742
4.185955	42.46315
3.591292	42.24199
3.756118	42.08436
5.684948	42.57831
3.185995	42.50631
3.969986	43.21422
5.444383	42.48010
3.122147	42.21310
3.490976	41.97514
4.459628	42.98016
4.621352	42.70505
5.177286	42.81045
5.613478	41.94484
4.559518	42.37868
5.991129	42.71574
3.814665	41.91011
5.297388	42.66888
5.097751	42.17927
4.640379	42.86188
3.463865	42.95194
4.768922	42.19876
5.801968	41.80642
