 [1,] 5.879078 41.95348
 [2,] 4.605556 41.88107
 [3,] 5.746339 42.90166
 [4,] 6.397784 42.50949
 [5,] 4.883445 42.59837
 [6,] 3.389248 43.11606
 [7,] 5.459523 43.03951
 [8,] 4.316212 41.70984
 [9,] 4.478811 41.31259
[10,] 6.512059 41.45465
[11,] 4.988359 42.98740
[12,] 5.574528 41.62218
[13,] 3.464211 42.85361
[14,] 3.625215 42.27454
[15,] 3.594449 41.38327
[16,] 4.433047 42.19776
[17,] 4.082986 42.78834
[18,] 6.589709 42.94791
[19,] 3.134304 41.78739
[20,] 5.970237 41.44523
[21,] 5.109322 41.66794
[22,] 5.667489 42.17425
[23,] 6.286665 42.25992
[24,] 5.343150 41.90969
[25,] 4.679406 41.55953
[26,] 3.156689 42.43443
[27,] 4.059607 41.49083
[28,] 6.183181 43.07821
[29,] 4.584968 42.85546
[30,] 3.054878 42.70559
[31,] 4.749232 42.34174
[32,] 5.595461 42.37820
[33,] 3.750837 42.57429
[34,] 5.201240 42.31207
[35,] 5.378109 42.65153
[36,] 3.826472 42.07766
[37,] 3.241686 41.52768
[38,] 6.702549 42.13256
[39,] 6.082498 41.68685
[40,] 4.919532 42.05797
[41,] 4.210739 41.97338
[42,] 6.477848 41.84488
[43,] 3.865816 41.75540
[44,] 3.305651 42.02968
[45,] 6.770571 42.72564
[46,] 4.273503 42.48362
[47,] 5.936169 42.53488
[48,] 3.931838 43.01601
[49,] 6.225045 42.74726
[50,] 5.271263 41.36259
