  [1,] 3.706225 43.02487
  [2,] 4.804085 42.30637
  [3,] 5.192939 42.91572
  [4,] 3.184518 42.56975
  [5,] 4.305448 43.05336
  [6,] 4.458833 43.37676
  [7,] 3.881016 43.38849
  [8,] 3.965376 43.06064
  [9,] 3.563582 43.14749
 [10,] 3.535356 42.49203
 [11,] 3.658693 43.09281
 [12,] 4.196358 42.97365
 [13,] 4.513200 42.34885
 [14,] 3.027410 42.96445
 [15,] 3.579515 43.22774
 [16,] 3.818017 43.31140
 [17,] 4.020344 43.35272
 [18,] 4.053955 42.31101
 [19,] 4.795234 42.93574
 [20,] 3.084116 42.79668
 [21,] 4.456651 42.95883
 [22,] 3.281322 42.98353
 [23,] 4.998369 43.30417
 [24,] 3.112399 42.65945
 [25,] 4.831290 43.42484
 [26,] 4.743264 43.27786
 [27,] 3.366578 42.67633
 [28,] 4.156376 42.59537
 [29,] 4.118037 43.41662
 [30,] 4.722868 42.99703
 [31,] 4.369108 43.46435
 [32,] 3.320684 42.46979
 [33,] 3.938647 42.64426
 [34,] 3.900728 42.33002
 [35,] 3.404936 43.34647
 [36,] 3.475808 42.81536
 [37,] 5.119010 42.50037
 [38,] 5.088835 42.32719
 [39,] 4.433667 43.29966
 [40,] 4.775297 43.12751
 [41,] 3.557153 43.32401
 [42,] 4.079985 42.44116
 [43,] 4.675532 42.54768
 [44,] 4.876173 43.00937
 [45,] 3.972768 42.52610
 [46,] 3.744696 42.72163
 [47,] 5.021055 43.40361
 [48,] 3.640021 42.84334
 [49,] 3.043815 43.43631
 [50,] 4.101606 42.80966
 [51,] 3.168815 42.90443
 [52,] 4.539427 42.68660
 [53,] 3.623536 42.92669
 [54,] 4.760332 42.69541
 [55,] 4.610427 42.25141
 [56,] 4.488632 42.53036
 [57,] 3.602399 42.74976
 [58,] 3.722944 42.63270
 [59,] 3.071894 43.25577
 [60,] 3.684346 43.48042
 [61,] 4.328979 42.85942
 [62,] 4.097813 43.49024
 [63,] 3.837772 43.47150
 [64,] 4.239257 42.27594
 [65,] 4.997113 42.42678
 [66,] 3.994329 42.89759
 [67,] 4.844012 43.33951
 [68,] 5.051956 43.01141
 [69,] 4.174195 43.13972
 [70,] 5.221616 43.28363
 [71,] 3.503110 42.37709
 [72,] 4.332645 42.61990
 [73,] 4.962167 42.88233
 [74,] 4.266862 42.48798
 [75,] 4.910317 42.66418
 [76,] 4.039371 43.20169
 [77,] 3.269538 42.38584
 [78,] 3.218440 43.08743
 [79,] 4.697588 42.76928
 [80,] 4.865177 43.21379
 [81,] 4.646837 42.39930
 [82,] 4.279477 43.24151
 [83,] 5.210483 43.03707
 [84,] 3.682465 43.39909
 [85,] 4.145599 42.51454
 [86,] 4.625742 42.62434
 [87,] 3.509641 42.57137
 [88,] 5.138449 42.41292
 [89,] 3.349585 43.26666
 [90,] 3.436628 43.19790
 [91,] 3.932878 43.16204
 [92,] 5.152047 42.60773
 [93,] 4.256889 42.36052
 [94,] 4.509517 42.43594
 [95,] 4.419048 42.78800
 [96,] 4.892424 42.58441
 [97,] 4.573220 43.18898
 [98,] 3.775236 42.86420
 [99,] 3.143651 42.28459
[100,] 4.663712 42.87464
[101,] 5.077685 42.82984
[102,] 3.211085 43.23372
[103,] 3.237390 43.36694
[104,] 4.213876 42.71515
[105,] 3.332807 42.75216
[106,] 3.897284 42.83188
[107,] 5.232663 42.29874
[108,] 5.175078 42.73994
[109,] 4.361617 43.15563
[110,] 3.427866 42.94650
[111,] 4.601855 43.45364
[112,] 3.853748 42.40828
[113,] 3.385546 43.04019
[114,] 4.940951 43.07790
[115,] 3.773700 42.47313
[116,] 4.394166 42.70916
[117,] 4.947153 42.77822
[118,] 5.069571 43.17142
[119,] 3.291960 43.44280
[120,] 3.452155 43.11017
[121,] 3.801375 42.26897
[122,] 3.147612 42.45549
[123,] 3.099678 42.35977
[124,] 4.560584 43.10160
[125,] 3.017027 42.55229
